DriverId,Driver,LapId,LapNumber,LapTime,LapTime,Sector1Time,Sector2Time,Sector3Time,Position,Stint,Compound,TyreLife,PitInTime,PitOutTime,TrackStatus
1,GAS,64,7.0,0 days 00:02:06.733000,0 days 00:02:06.733000,0 days 00:00:42.713000,0 days 00:00:29.764000,0 days 00:00:54.256000,9.0,4.0,INTERMEDIATE,7.0,,,41
1,GAS,65,8.0,0 days 00:01:38.441000,0 days 00:01:38.441000,0 days 00:00:35.761000,0 days 00:00:20.439000,0 days 00:00:42.241000,9.0,4.0,INTERMEDIATE,8.0,,,1
1,GAS,66,9.0,0 days 00:01:36.062000,0 days 00:01:36.062000,0 days 00:00:34.775000,0 days 00:00:19.939000,0 days 00:00:41.348000,9.0,4.0,INTERMEDIATE,9.0,,,1
1,GAS,67,10.0,0 days 00:01:35.527000,0 days 00:01:35.527000,0 days 00:00:34.369000,0 days 00:00:19.784000,0 days 00:00:41.374000,9.0,4.0,INTERMEDIATE,10.0,,,1
1,GAS,68,11.0,0 days 00:01:34.702000,0 days 00:01:34.702000,0 days 00:00:33.715000,0 days 00:00:19.771000,0 days 00:00:41.216000,9.0,4.0,INTERMEDIATE,11.0,,,1
1,GAS,69,12.0,0 days 00:01:34.227000,0 days 00:01:34.227000,0 days 00:00:33.480000,0 days 00:00:19.640000,0 days 00:00:41.107000,9.0,4.0,INTERMEDIATE,12.0,,,1
1,GAS,70,13.0,0 days 00:01:33.275000,0 days 00:01:33.275000,0 days 00:00:33.245000,0 days 00:00:19.662000,0 days 00:00:40.368000,9.0,4.0,INTERMEDIATE,13.0,,,1
1,GAS,71,14.0,0 days 00:01:32.859000,0 days 00:01:32.859000,0 days 00:00:32.923000,0 days 00:00:19.508000,0 days 00:00:40.428000,9.0,4.0,INTERMEDIATE,14.0,,,1
1,GAS,72,15.0,0 days 00:01:32.744000,0 days 00:01:32.744000,0 days 00:00:33.106000,0 days 00:00:19.515000,0 days 00:00:40.123000,9.0,4.0,INTERMEDIATE,15.0,,,1
1,GAS,73,16.0,0 days 00:01:32.445000,0 days 00:01:32.445000,0 days 00:00:32.952000,0 days 00:00:19.527000,0 days 00:00:39.966000,9.0,4.0,INTERMEDIATE,16.0,,,1
1,GAS,74,17.0,0 days 00:01:32.795000,0 days 00:01:32.795000,0 days 00:00:32.773000,0 days 00:00:19.338000,0 days 00:00:40.684000,9.0,4.0,INTERMEDIATE,17.0,,,1
1,GAS,75,18.0,0 days 00:01:33.124000,0 days 00:01:33.124000,0 days 00:00:32.863000,0 days 00:00:19.329000,0 days 00:00:40.932000,9.0,4.0,INTERMEDIATE,18.0,,,1
1,GAS,76,19.0,0 days 00:01:32.462000,0 days 00:01:32.462000,0 days 00:00:32.918000,0 days 00:00:19.141000,0 days 00:00:40.403000,9.0,4.0,INTERMEDIATE,19.0,,,1
1,GAS,77,20.0,0 days 00:01:32.327000,0 days 00:01:32.327000,0 days 00:00:32.703000,0 days 00:00:19.090000,0 days 00:00:40.534000,9.0,4.0,INTERMEDIATE,20.0,,,1
1,GAS,78,21.0,0 days 00:01:32.323000,0 days 00:01:32.323000,0 days 00:00:32.860000,0 days 00:00:19.181000,0 days 00:00:40.282000,9.0,4.0,INTERMEDIATE,21.0,,,1
1,GAS,79,22.0,0 days 00:01:32.355000,0 days 00:01:32.355000,0 days 00:00:32.630000,0 days 00:00:19.183000,0 days 00:00:40.542000,9.0,4.0,INTERMEDIATE,22.0,,,1
1,GAS,80,23.0,0 days 00:01:32.438000,0 days 00:01:32.438000,0 days 00:00:32.769000,0 days 00:00:19.180000,0 days 00:00:40.489000,9.0,4.0,INTERMEDIATE,23.0,,,1
1,GAS,81,24.0,0 days 00:01:32.035000,0 days 00:01:32.035000,0 days 00:00:32.624000,0 days 00:00:19.219000,0 days 00:00:40.192000,9.0,4.0,INTERMEDIATE,24.0,,,1
1,GAS,82,25.0,0 days 00:01:31.622000,0 days 00:01:31.622000,0 days 00:00:32.743000,0 days 00:00:19.120000,0 days 00:00:39.759000,9.0,4.0,INTERMEDIATE,25.0,,,1
1,GAS,83,26.0,0 days 00:01:30.928000,0 days 00:01:30.928000,0 days 00:00:32.305000,0 days 00:00:19.052000,0 days 00:00:39.571000,9.0,4.0,INTERMEDIATE,26.0,,,1
1,GAS,84,27.0,0 days 00:01:30.635000,0 days 00:01:30.635000,0 days 00:00:32.169000,0 days 00:00:19.002000,0 days 00:00:39.464000,9.0,4.0,INTERMEDIATE,27.0,,,1
1,GAS,85,28.0,0 days 00:01:30.382000,0 days 00:01:30.382000,0 days 00:00:32.019000,0 days 00:00:18.955000,0 days 00:00:39.408000,9.0,4.0,INTERMEDIATE,28.0,,,1
1,GAS,86,29.0,0 days 00:01:30.051000,0 days 00:01:30.051000,0 days 00:00:31.855000,0 days 00:00:18.938000,0 days 00:00:39.258000,9.0,4.0,INTERMEDIATE,29.0,,,1
1,GAS,87,30.0,0 days 00:01:30.124000,0 days 00:01:30.124000,0 days 00:00:31.654000,0 days 00:00:18.998000,0 days 00:00:39.472000,9.0,4.0,INTERMEDIATE,30.0,,,1
1,GAS,88,31.0,0 days 00:01:29.299000,0 days 00:01:29.299000,0 days 00:00:31.513000,0 days 00:00:18.869000,0 days 00:00:38.917000,9.0,4.0,INTERMEDIATE,31.0,,,1
1,GAS,89,32.0,0 days 00:01:29.383000,0 days 00:01:29.383000,0 days 00:00:31.618000,0 days 00:00:18.850000,0 days 00:00:38.915000,9.0,4.0,INTERMEDIATE,32.0,,,1
1,GAS,90,33.0,0 days 00:01:51.300000,0 days 00:01:51.300000,0 days 00:00:31.296000,0 days 00:00:18.975000,0 days 00:01:01.029000,9.0,4.0,INTERMEDIATE,33.0,0 days 02:08:17.990000,,124
1,GAS,91,34.0,0 days 00:02:25.049000,0 days 00:02:25.049000,0 days 00:00:53.338000,0 days 00:00:42.356000,0 days 00:00:49.355000,9.0,5.0,HARD,1.0,,0 days 02:08:37.599000,4
1,GAS,92,35.0,0 days 00:01:45.531000,0 days 00:01:45.531000,0 days 00:00:35.632000,0 days 00:00:28.822000,0 days 00:00:41.077000,9.0,5.0,HARD,2.0,,,4
1,GAS,93,36.0,0 days 00:01:41.620000,0 days 00:01:41.620000,0 days 00:00:32.286000,0 days 00:00:29.596000,0 days 00:00:39.738000,9.0,5.0,HARD,3.0,,,4
1,GAS,94,37.0,0 days 00:02:07.218000,0 days 00:02:07.218000,0 days 00:00:31.629000,0 days 00:00:29.727000,0 days 00:01:05.862000,9.0,5.0,HARD,4.0,,,4
1,GAS,95,38.0,0 days 00:02:19.376000,0 days 00:02:19.376000,0 days 00:00:38.274000,0 days 00:00:39.552000,0 days 00:01:01.550000,9.0,5.0,HARD,5.0,,,4
1,GAS,96,39.0,0 days 00:02:11.226000,0 days 00:02:11.226000,0 days 00:00:38.456000,0 days 00:00:36.070000,0 days 00:00:56.700000,9.0,5.0,HARD,6.0,,,4
1,GAS,97,40.0,0 days 00:02:10.476000,0 days 00:02:10.476000,0 days 00:00:40.824000,0 days 00:00:35.543000,0 days 00:00:54.109000,9.0,5.0,HARD,7.0,,,4
1,GAS,98,41.0,0 days 00:02:06.368000,0 days 00:02:06.368000,0 days 00:00:43.945000,0 days 00:00:29.012000,0 days 00:00:53.411000,9.0,5.0,HARD,8.0,,,41
1,GAS,99,42.0,0 days 00:01:27.942000,0 days 00:01:27.942000,0 days 00:00:31.318000,0 days 00:00:18.881000,0 days 00:00:37.743000,9.0,5.0,HARD,9.0,,,1
1,GAS,100,43.0,0 days 00:01:25.020000,0 days 00:01:25.020000,0 days 00:00:29.787000,0 days 00:00:18.627000,0 days 00:00:36.606000,9.0,5.0,HARD,10.0,,,1
1,GAS,101,44.0,0 days 00:01:28.332000,0 days 00:01:28.332000,0 days 00:00:29.467000,0 days 00:00:18.594000,0 days 00:00:40.271000,4.0,5.0,HARD,11.0,,,12
1,GAS,102,45.0,0 days 00:01:32.969000,0 days 00:01:32.969000,0 days 00:00:30.352000,0 days 00:00:18.899000,0 days 00:00:43.718000,4.0,5.0,HARD,12.0,,,21
1,GAS,103,46.0,0 days 00:01:56.069000,0 days 00:01:56.069000,0 days 00:00:33.157000,0 days 00:00:18.982000,0 days 00:01:03.930000,11.0,5.0,HARD,13.0,0 days 02:32:55.194000,,1
1,GAS,104,47.0,0 days 00:02:06.740000,0 days 00:02:06.740000,0 days 00:00:45.479000,0 days 00:00:24.021000,0 days 00:00:57.240000,8.0,6.0,INTERMEDIATE,1.0,,0 days 02:33:14.929000,124
1,GAS,105,48.0,0 days 00:02:01.785000,0 days 00:02:01.785000,0 days 00:00:41.932000,0 days 00:00:22.835000,0 days 00:00:57.018000,8.0,6.0,INTERMEDIATE,2.0,,,4
1,GAS,106,49.0,0 days 00:02:24.669000,0 days 00:02:24.669000,0 days 00:00:48.264000,0 days 00:00:32.422000,0 days 00:01:03.983000,8.0,6.0,INTERMEDIATE,3.0,,,4
1,GAS,107,50.0,0 days 00:02:17.754000,0 days 00:02:17.754000,0 days 00:00:49.575000,0 days 00:00:30.790000,0 days 00:00:57.389000,8.0,6.0,INTERMEDIATE,4.0,,,4
1,GAS,108,51.0,0 days 00:02:11.745000,0 days 00:02:11.745000,0 days 00:00:46.466000,0 days 00:00:28.377000,0 days 00:00:56.902000,8.0,6.0,INTERMEDIATE,5.0,,,41
1,GAS,109,52.0,0 days 00:01:36.326000,0 days 00:01:36.326000,0 days 00:00:35.475000,0 days 00:00:19.500000,0 days 00:00:41.351000,8.0,6.0,INTERMEDIATE,6.0,,,1
1,GAS,110,53.0,0 days 00:01:32.297000,0 days 00:01:32.297000,0 days 00:00:32.856000,0 days 00:00:19.045000,0 days 00:00:40.396000,8.0,6.0,INTERMEDIATE,7.0,,,1
1,GAS,111,54.0,0 days 00:01:34.967000,0 days 00:01:34.967000,0 days 00:00:35.345000,0 days 00:00:19.237000,0 days 00:00:40.385000,10.0,6.0,INTERMEDIATE,8.0,,,1
1,GAS,112,55.0,0 days 00:01:32.316000,0 days 00:01:32.316000,0 days 00:00:33.195000,0 days 00:00:19.199000,0 days 00:00:39.922000,11.0,6.0,INTERMEDIATE,9.0,,,1
1,GAS,113,56.0,0 days 00:01:30.866000,0 days 00:01:30.866000,0 days 00:00:31.867000,0 days 00:00:19.159000,0 days 00:00:39.840000,11.0,6.0,INTERMEDIATE,10.0,,,1
1,GAS,114,57.0,0 days 00:01:31.312000,0 days 00:01:31.312000,0 days 00:00:31.774000,0 days 00:00:19.075000,0 days 00:00:40.463000,11.0,6.0,INTERMEDIATE,11.0,,,1
13,ANT,115,1.0,0 days 00:02:22.352000,0 days 00:02:22.352000,,0 days 00:00:22.829000,0 days 00:01:09.366000,13.0,1.0,INTERMEDIATE,1.0,,,124
13,ANT,116,2.0,,,0 days 00:00:55.459000,0 days 00:00:32.481000,0 days 00:01:21.860000,13.0,1.0,INTERMEDIATE,2.0,0 days 01:16:01.429000,,4
13,ANT,117,3.0,,,0 days 00:00:51.498000,0 days 00:00:33.080000,0 days 00:01:20.177000,13.0,2.0,INTERMEDIATE,3.0,0 days 01:18:43.529000,0 days 01:16:16.265000,4
13,ANT,118,4.0,,,0 days 00:00:49.814000,0 days 00:00:32.851000,0 days 00:01:11.933000,13.0,3.0,INTERMEDIATE,4.0,0 days 01:21:21.148000,0 days 01:18:59.964000,4
13,ANT,119,5.0,0 days 00:02:19.163000,0 days 00:02:19.163000,0 days 00:00:49.979000,0 days 00:00:30.052000,0 days 00:00:59.132000,13.0,4.0,INTERMEDIATE,5.0,,0 days 01:21:35.283000,4
13,ANT,120,6.0,0 days 00:02:21.111000,0 days 00:02:21.111000,0 days 00:00:42.289000,0 days 00:00:35.787000,0 days 00:01:03.035000,13.0,4.0,INTERMEDIATE,6.0,,,4
